WKT,WKT,City,Category,Initiative,Location,Building,URL_1,Info,Describe
POINT (-12474333.0 3949543.2),POINT (-12474333.0 3949543.2),Phoenix,Infrastructure,Green Building,936 E Broadway Rd Phoenix AZ 85040,Corona Service yard,http://www.gbig.org/activities/leed-10521066,Silver,Maintenance facility for the city of Phoenix Water Services Department
POINT (-12479401 3952141),POINT (-12479401 3952141),Phoenix,Infrastructure,Green Building,2425 W Lower Buckeye Rd Phoenix  AZ,Phoenix Fire Recruit Training,http://www.usgbc.org/projects/phoenix-fire-recruit-training,Silver,Firing recruit training and LEED certified
POINT (-12468933.0 3999150.5),POINT (-12468933.0 3999150.5),Phoenix,Infrastructure,Green Building,"33027 North Cave Creek Road , Phoenix , AZ 85331",Fire Station No. 72,http://www.usgbc.org/projects/phoenix-fire-station-72,Gold,This Phoenix fire station fights fires and environmental dis-sustainability with a gold LEED certification!
POINT (-12461264 3952625),POINT (-12461264 3952625),Tempe,Energy,Solar Power,Tempe Beach Park,Tempe Town Lake Water Park Ramada,http://www.azcentral.com/news/articles/2011/05/19/20110519tempe-solar-panels-beach-park0520.html,20000 kW,"Ramada of Tempe Town Lake's childrens water park area, solar panels on top"
POINT (-12460575.0 3951981.8),POINT (-12460575.0 3951981.8),Tempe,Infrastructure,Green Building,"200 E 5th St. Tempe, AZ 85281",Tempe Transportation Center,http://www.usgbc.org/projects/tempe-transportation-center,Platinum,"Providing transportation support and sustainable design features like permeable concrete, a roof garden, solar power, and rainwater recovery."
POINT (-12476001.0 3963100.8),POINT (-12476001.0 3963100.8),Phoenix,Transportation,Bike share,E Camelback Rd & N Central Ave Phoenix AZ 85013,Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476004 3962143),POINT (-12476004 3962143),Phoenix,Transportation,Bike share,N Central Ave & W Campbell Ave Phoenix AZ 85012,Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476075.0 3961556.8),POINT (-12476075.0 3961556.8),Phoenix,Transportation,Bike share,"11 West Glenrosa Avenue, Phoenix AZ 85013",Bik eshare hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475987.0 3960025.5),POINT (-12475987.0 3960025.5),Phoenix,Transportation,Bike share,"N Central Ave & E Lexington Ave
North Central Ave and E Lexington Phoenix, AZ 85012",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475840.0 3959205.5),POINT (-12475840.0 3959205.5),Phoenix,Transportation,Bike share,"3 East Thomas Road, Phoenix AZ 85012",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476055 3958386),POINT (-12476055 3958386),Phoenix,Transportation,Bike share,"2-10 West Vernon Avenue, Phoenix AZ 85003",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475960 3957067),POINT (-12475960 3957067),Phoenix,Transportation,Bike share,"1401 North Central Avenue, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475997.0 3956404.5),POINT (-12475997.0 3956404.5),Phoenix,Transportation,Bike share,"1000-1034 North Central Avenue, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475887 3955956),POINT (-12475887 3955956),Phoenix,Transportation,Bike share,"702 North 1st Street, Encanto, Phoenix, Arizona 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
